Count,Name,Color,Hyperlink,Layer,Linetype,Linetype Scale,Lineweight,Plot Style,Position X,Position Y,Position Z,ALT,COD,MAT
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,421950.8200,4806612.9000,1835.2900,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,422229.1700,4806822.2200,1754.2900,1754.290,,T.13
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,421951.0200,4806612.7000,1835.2900,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,421950.9200,4806613.0000,1835.2900,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,421951.0200,4806613.1000,1835.2900,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,422229.1700,4806822.2200,1754.2900,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,422732.2100,4807200.5300,1757.4900,1757.490,,T.15
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,422732.2100,4807200.5300,1757.4900,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,422229.0700,4806822.1200,1754.2900,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,422229.2700,4806822.3200,1754.2900,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,422229.2700,4806821.9200,1754.2900,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,421696.1900,4806373.3400,1739.0500,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,421695.9900,4806373.5400,1739.0500,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,421696.1900,4806373.7400,1739.0500,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,421696.0900,4806373.6400,1739.0500,1739.050,,T.10(N).1
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,421696.0900,4806373.6400,1739.0500,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,421795.0400,4806430.9900,1794.0300,1794.030,,T.11
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,421794.9400,4806430.8900,1794.0300,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,421950.9200,4806613.0000,1835.2900,1835.290,,T.12
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,421795.1400,4806430.6900,1794.0300,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,421795.0400,4806430.9900,1794.0300,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,421795.1400,4806431.0900,1794.0300,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,422732.3100,4807200.6300,1757.4900,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,423278.5100,4807453.6800,1759.1600,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,423278.5100,4807453.2800,1759.1600,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,423278.4100,4807453.5800,1759.1600,,,
