Count,Name,Position X,Position Y,Position Z,ALT,COD,MAT
1,Point,422732.4700,4807219.4300,1755.5900,,,
1,TCPOINT,422732.4700,4807219.4300,1755.5900,1755.590,,2467
1,Attribute Definition,422732.5700,4807219.1300,1755.5900,,,
1,Attribute Definition,422732.5700,4807219.5300,1755.5900,,,
1,Attribute Definition,421085.7500,4806007.6700,1679.7800,,,
1,Point,421085.6500,4806007.5700,1679.7800,,,
1,Attribute Definition,421085.5500,4806007.4700,1679.7800,,,
1,Attribute Definition,421085.7500,4806007.2700,1679.7800,,,
1,Attribute Definition,422732.3700,4807219.3300,1755.5900,,,
1,TCPOINT,420390.2100,4805716.3200,1605.3800,1605.380,,2465
1,Attribute Definition,421100.9500,4806014.4600,1687.0800,,,
1,Attribute Definition,420390.3100,4805716.4200,1605.3800,,,
1,Point,420390.2100,4805716.3200,1605.3800,,,
1,Point,421101.0500,4806014.5600,1687.0800,,,
1,TCPOINT,421101.0500,4806014.5600,1687.0800,1687.080,,2466
1,Attribute Definition,421101.1500,4806014.2600,1687.0800,,,
1,Attribute Definition,421101.1500,4806014.6600,1687.0800,,,
1,TCPOINT,421085.6500,4806007.5700,1679.7800,1679.780,,2468
1,Attribute Definition,421083.0600,4806024.4400,1678.7500,,,
1,Attribute Definition,421083.0600,4806024.8400,1678.7500,,,
1,TCPOINT,422733.4500,4807218.3300,1755.7600,1755.760,,2470
1,Attribute Definition,421082.8600,4806024.6400,1678.7500,,,
1,Attribute Definition,420390.2500,4805714.0000,1605.5700,,,
1,Attribute Definition,420390.4500,4805713.8000,1605.5700,,,
1,Point,421082.9600,4806024.7400,1678.7500,,,
1,TCPOINT,421082.9600,4806024.7400,1678.7500,1678.750,,2471
1,Point,422733.4500,4807218.3300,1755.7600,,,
1,Attribute Definition,420390.2800,4805715.6400,1605.4700,,,
1,Point,420390.1800,4805715.5400,1605.4700,,,
1,Attribute Definition,420390.0800,4805715.4400,1605.4700,,,
1,Attribute Definition,420390.2800,4805715.2400,1605.4700,,,
1,Attribute Definition,422733.5500,4807218.0300,1755.7600,,,
1,Attribute Definition,422733.5500,4807218.4300,1755.7600,,,
1,TCPOINT,420390.1800,4805715.5400,1605.4700,1605.470,,2469
1,Attribute Definition,422733.3500,4807218.2300,1755.7600,,,
1,Attribute Definition,420390.3100,4805716.0200,1605.3800,,,
1,Attribute Definition,420390.7500,4805719.5600,1605.4900,,,
1,Point,420390.6500,4805719.4600,1605.4900,,,
1,Attribute Definition,420390.5500,4805719.3600,1605.4900,,,
1,Attribute Definition,420390.7500,4805719.1600,1605.4900,,,
1,Attribute Definition,422730.9800,4807220.3200,1755.2000,,,
1,Attribute Definition,422730.9800,4807220.7200,1755.2000,,,
1,TCPOINT,420390.6500,4805719.4600,1605.4900,1605.490,,2460
1,Attribute Definition,422730.7800,4807220.5200,1755.2000,,,
1,TCPOINT,421109.5100,4806062.3600,1684.6600,1684.660,,2459
1,Point,422729.7700,4807219.6500,1755.0600,,,
1,TCPOINT,422729.7700,4807219.6500,1755.0600,1755.060,,2458
1,Attribute Definition,422729.8700,4807219.3500,1755.0600,,,
1,Attribute Definition,422729.8700,4807219.7500,1755.0600,,,
1,Attribute Definition,421109.6100,4806062.4600,1684.6600,,,
1,Point,421109.5100,4806062.3600,1684.6600,,,
1,Attribute Definition,421109.4100,4806062.2600,1684.6600,,,
1,Attribute Definition,421109.6100,4806062.0600,1684.6600,,,
1,Point,422730.8800,4807220.6200,1755.2000,,,
1,Attribute Definition,422731.4100,4807220.4300,1755.4700,,,
1,Attribute Definition,422731.6100,4807220.2300,1755.4700,,,
1,Point,421101.2900,4806034.5300,1685.0300,,,
1,TCPOINT,421101.2900,4806034.5300,1685.0300,1685.030,,2463
1,TCPOINT,422731.5100,4807220.5300,1755.4700,1755.470,,2464
1,Attribute Definition,420390.1100,4805716.2200,1605.3800,,,
1,Attribute Definition,422731.6100,4807220.6300,1755.4700,,,
1,Point,422731.5100,4807220.5300,1755.4700,,,
1,Attribute Definition,421101.3900,4806034.6300,1685.0300,,,
1,Attribute Definition,420390.2600,4805717.5600,1605.1800,,,
1,Attribute Definition,420390.2600,4805717.9600,1605.1800,,,
1,TCPOINT,422730.8800,4807220.6200,1755.2000,1755.200,,2461
1,Attribute Definition,420390.0600,4805717.7600,1605.1800,,,
1,Attribute Definition,421101.1900,4806034.4300,1685.0300,,,
1,Attribute Definition,421101.3900,4806034.2300,1685.0300,,,
1,Point,420390.1600,4805717.8600,1605.1800,,,
1,TCPOINT,420390.1600,4805717.8600,1605.1800,1605.180,,2462
1,TCPOINT,421065.4100,4806029.9700,1677.2600,1677.260,,2481
1,Attribute Definition,422737.6000,4807212.5900,1757.9500,,,
1,Attribute Definition,421065.5100,4806030.0700,1677.2600,,,
1,Point,421065.4100,4806029.9700,1677.2600,,,
1,Point,422737.7000,4807212.6900,1757.9500,,,
1,TCPOINT,422737.7000,4807212.6900,1757.9500,1757.950,,2482
1,Attribute Definition,422737.8000,4807212.3900,1757.9500,,,
1,Attribute Definition,422737.8000,4807212.7900,1757.9500,,,
1,Attribute Definition,421065.5100,4806029.6700,1677.2600,,,
1,Attribute Definition,420390.8100,4805709.7300,1605.8900,,,
1,Attribute Definition,420391.0100,4805709.5300,1605.8900,,,
1,Point,422737.2200,4807213.6700,1757.5400,,,
1,TCPOINT,422737.2200,4807213.6700,1757.5400,1757.540,,2479
1,TCPOINT,420390.9100,4805709.8300,1605.8900,1605.890,,2480
1,Attribute Definition,421065.3100,4806029.8700,1677.2600,,,
1,Attribute Definition,420391.0100,4805709.9300,1605.8900,,,
1,Point,420390.9100,4805709.8300,1605.8900,,,
1,Attribute Definition,420391.0500,4805708.4300,1605.9700,,,
1,Attribute Definition,422737.7800,4807211.4500,1758.1700,,,
1,Point,422737.6800,4807211.3500,1758.1700,,,
1,Attribute Definition,422737.5800,4807211.2500,1758.1700,,,
1,Attribute Definition,422737.7800,4807211.0500,1758.1700,,,
1,Attribute Definition,420391.4300,4805706.8200,1605.9900,,,
1,Attribute Definition,420391.4300,4805707.2200,1605.9900,,,
1,TCPOINT,422737.6800,4807211.3500,1758.1700,1758.170,,2485
1,Attribute Definition,420391.2300,4805707.0200,1605.9900,,,
1,TCPOINT,421077.6200,4806019.4500,1676.4100,1676.410,,2484
1,Point,420391.1500,4805708.5300,1605.9700,,,
1,TCPOINT,420391.1500,4805708.5300,1605.9700,1605.970,,2483
1,Attribute Definition,420391.2500,4805708.2300,1605.9700,,,
1,Attribute Definition,420391.2500,4805708.6300,1605.9700,,,
1,Attribute Definition,421077.7200,4806019.5500,1676.4100,,,
1,Point,421077.6200,4806019.4500,1676.4100,,,
1,Attribute Definition,421077.5200,4806019.3500,1676.4100,,,
1,Attribute Definition,421077.7200,4806019.1500,1676.4100,,,
1,Attribute Definition,422737.3200,4807213.7700,1757.5400,,,
1,Point,421082.8400,4806045.5400,1676.9800,,,
1,TCPOINT,421082.8400,4806045.5400,1676.9800,1676.980,,2474
1,Attribute Definition,421082.9400,4806045.2400,1676.9800,,,
1,Attribute Definition,421082.9400,4806045.6400,1676.9800,,,
1,Attribute Definition,420390.6300,4805712.6300,1605.6900,,,
1,Point,420390.5300,4805712.5300,1605.6900,,,
1,Attribute Definition,420390.4300,4805712.4300,1605.6900,,,
1,Attribute Definition,420390.6300,4805712.2300,1605.6900,,,
1,Attribute Definition,421082.7400,4806045.4400,1676.9800,,,
1,TCPOINT,420390.3500,4805714.1000,1605.5700,1605.570,,2472
1,Attribute Definition,422735.5300,4807215.3600,1756.5900,,,
1,Attribute Definition,420390.4500,4805714.2000,1605.5700,,,
1,Point,420390.3500,4805714.1000,1605.5700,,,
1,Point,422735.6300,4807215.4600,1756.5900,,,
1,TCPOINT,422735.6300,4807215.4600,1756.5900,1756.590,,2473
1,Attribute Definition,422735.7300,4807215.1600,1756.5900,,,
1,Attribute Definition,422735.7300,4807215.5600,1756.5900,,,
1,TCPOINT,420390.5300,4805712.5300,1605.6900,1605.690,,2475
1,Attribute Definition,420390.9600,4805710.8600,1605.7900,,,
1,Attribute Definition,420390.9600,4805711.2600,1605.7900,,,
1,TCPOINT,421078.8400,4806044.9400,1675.1800,1675.180,,2477
1,Attribute Definition,420390.7600,4805711.0600,1605.7900,,,
1,Attribute Definition,422737.1200,4807213.5700,1757.5400,,,
1,Attribute Definition,422737.3200,4807213.3700,1757.5400,,,
1,Point,420390.8600,4805711.1600,1605.7900,,,
1,TCPOINT,420390.8600,4805711.1600,1605.7900,1605.790,,2478
1,Point,421078.8400,4806044.9400,1675.1800,,,
1,Attribute Definition,422736.5600,4807214.6800,1757.2700,,,
1,Point,422736.4600,4807214.5800,1757.2700,,,
1,Attribute Definition,422736.3600,4807214.4800,1757.2700,,,
1,Attribute Definition,422736.5600,4807214.2800,1757.2700,,,
1,Attribute Definition,421078.9400,4806044.6400,1675.1800,,,
1,Attribute Definition,421078.9400,4806045.0400,1675.1800,,,
1,TCPOINT,422736.4600,4807214.5800,1757.2700,1757.270,,2476
1,Attribute Definition,421078.7400,4806044.8400,1675.1800,,,
1,Attribute Definition,422729.6700,4807219.5500,1755.0600,,,
1,Attribute Definition,420392.6900,4805715.0300,1606.6200,,,
1,Attribute Definition,420392.8900,4805714.8300,1606.6200,,,
1,Point,421150.3300,4806089.2400,1700.5200,,,
1,TCPOINT,421150.3300,4806089.2400,1700.5200,1700.520,,2438
1,TCPOINT,420392.7900,4805715.1300,1606.6200,1606.620,,2439
1,Attribute Definition,422726.8600,4807212.4800,1755.3100,,,
1,Attribute Definition,420392.8900,4805715.2300,1606.6200,,,
1,Point,420392.7900,4805715.1300,1606.6200,,,
