1,425498.575,4770832.134,Outside the fence of a premises
1A,425994.430,4770422.124,Cultivated land with banana trees
2,426490.284,4770012.118,Cultivated land
2A,427364.426,4769759.784,Cultivated land near a house
2B,427947.185,4769591.564,Cultivated land with banana trees
2C,429112.694,4769255.128,Bushes near cultivated land
2D,429986.819,4769002.806,Inside a house
2E,430569.566,4768834.593,Between many houses
3,431735.052,4768498.172,Cultivated land with banana trees
3A,432656.627,4768259.010,Cultivated land
3B,433578.195,4768019.851,Cultivated land
3C,434499.757,4767780.696,Cultivated land
4,435421.312,4767541.545,Cultivated land with banana trees
4A,436266.398,4767469.613,Bare land
4B,436829.786,4767421.658,Rocky land with forest
4C,437956.554,4767325.750,Cultivated land
4D,438801.624,4767253.821,Cultivated land near a road
4E,439365.000,4767205.868,Banana trees
5,440491.744,4767109.965,Cultivated land near a house
5A,441218.875,4766767.345,Cultivated land
6,441946.003,4766424.729,Cultivated land
6A,442496.892,4766007.198,Cultivated land
7,443047.780,4765589.671,Cultivated land with banana trees
7A,443860.101,4765082.832,Small forest
7B,444672.419,4764576.000,Rocky land with forest
7C,445484.733,4764069.175,Grass land
7D,446297.044,4763562.356,Cultivated land near a house
8,447109.352,4763055.545,Cultivated land near a house
9,447643.074,4762868.765,Forest
10,448188.037,4762121.676,Small forest near cultivated land
10A,448951.226,4761624.379,Rocky land with forest
10B,449714.412,4761127.088,Grass cover near cultivated land
10C,450477.596,4760629.804,Grass cover near cultivated land
10D,451240.776,4760132.526,Grass cover
10E,452003.954,4759635.254,Cultivated land
10F,452767.129,4759137.988,Cultivated land near houses
10G,453530.301,4758640.729,Cultivated land
11,454293.471,4758143.476,Cultivated land
11A,454752.362,4757652.939,Small forest near river
11B,455058.289,4757325.917,Cultivated land near houses
12,455670.145,4756671.876,Cultivated land
12A,456515.252,4756394.596,Cultivated land
12B,457360.353,4756117.320,Bushes near cultivated land
12C,458205.449,4755840.048,Grass cover near a house
13,459050.540,4755562.779,Cultivated land
14,459934.667,4755433.399,Rocky grass land
14A,460760.168,4754963.436,Bare land near houses
14B,461526.891,4754569.280,Cultivated land
15,462411.157,4754023.531,Cultivated land near houses
15A,463060.327,4753780.981,Rocky land near a house
15B,464019.649,4753549.834,Cultivated land with banana trees
16,464358.660,4753295.890,Cultivated land with banana trees
16A,465289.115,4753330.090,Cultivated land
16B,466219.564,4753364.289,Forest near a road
16C,467150.005,4753398.488,Cultivated land
17,468080.439,4753432.686,Cultivated land near a house
17A,468989.058,4753606.513,Cultivated land
17B,469897.671,4753780.338,Forest on rocky land
17C,470806.276,4753954.160,Cultivated land
18,471714.875,4754127.979,Cultivated land
18A,472480.000,4753905.643,Grass cover near cultivated land
18B,473245.120,4753683.310,Cultivated land
19,474010.236,4753460.980,Banana plantation
19A,474652.320,4753039.758,On the edge of the road
20,475294.403,4752618.541,Cultivated land
20A,476195.230,4752322.360,Small marshland
21,477096.052,4752026.184,Cultivated land near the road
22,477112.840,4751946.719,Small wetland with grass cover
23,477168.500,4751946.903,Small forest near the wetland
24,477176.764,4752024.431,Cultivated land
25,477262.518,4752067.978,Cultivated land near houses
26,477610.154,4751963.115,Cultivated land
27,478024.263,4751447.877,Cultivated land
27A,478867.668,4751109.511,Small forest
27B,479711.068,4750771.151,Small forest
27C,480554.463,4750432.795,Inside a house
27D,481397.853,4750094.444,Cultivated land
28,482241.238,4749756.097,Cultivated land
28A,482869.167,4749623.883,Cultivated land near houses
29,483497.092,4749491.670,Cultivated land near houses
29A,484330.827,4749246.926,Cultivated land
29B,485164.556,4749002.185,Cultivated land
29C,485998.281,4748757.448,Cultivated land
29D,486831.999,4748512.713,Cultivated land
30,487665.713,4748267.983,Cultivated land
31,487944.959,4747736.714,Cultivated land
31A,488857.539,4747422.573,Cultivated land
31B,489770.112,4747108.437,Cultivated land
31C,490682.680,4746794.306,Banana plantation
31D,491595.242,4746480.179,Bushes near cultivated land
32,492507.797,4746166.057,Cultivated land with banana trees
33,493584.138,4746251.990,Natural grass cover
34,493731.822,4746253.998,Cultivated land
35,494091.712,4746264.134,Grass cover
36,494294.717,4746573.357,Grass cover near cultivated land
37,495030.422,4747234.543,Grass cover just on the road edge
37A,495830.526,4747097.464,Inside a flooded area in the wetland
38,496630.625,4746960.387,Cultivated land
38A,497496.945,4746957.792,Cultivated land
38B,498363.259,4746955.196,Flooded area into the marshland
39,499229.567,4746952.601,Cultivated land near the marshland
39A,500146.378,4746972.759,Coffee plantation
39B,501063.182,4746992.917,Cultivated land with banana trees
40,501979.979,4747013.074,Grass cover
40A,502853.854,4747132.483,Cultivated land
40B,503436.434,4747212.088,Grass cover near cultivated land
40C,504601.586,4747371.296,Bushes
40D,505475.443,4747490.700,Bare land in a new road
40E,506058.010,4747570.301,Grass cover
41,507223.137,4747729.502,Cultivated land
41A,508092.824,4747727.953,Cultivated land
41B,508962.505,4747726.404,Inside a house
41C,509832.180,4747724.854,Cultivated land
42,510701.848,4747723.305,Natural grass cover
42A,511574.067,4747808.349,Cultivated land
42B,512155.543,4747865.044,Cultivated land
42C,513318.487,4747978.433,Cultivated land
42D,514190.688,4748063.474,Cultivated land
42E,514772.151,4748120.167,Cultivated land
43,515935.070,4748233.551,Cultivated land
43A,516799.437,4748604.214,Forest military domain
43B,517663.798,4748974.872,Forest military domain
43C,518528.154,4749345.525,Forest military domain
43D,519392.505,4749716.173,Forest military domain
43E,520256.851,4750086.815,Forest military domain
43F,521121.192,4750457.452,Forest military domain
43G,521985.528,4750828.084,Forest military domain
43H,522849.859,4751198.710,Forest military domain
44,523714.185,4751569.332,Forest military domain
45,524390.919,4751684.578,Forest military domain
46,493656.785,4746246.528,Small forest near cultivated land
47,493656.945,4746156.011,Small forest
48,493336.031,4745551.277,Small forest
48A,493226.686,4744658.953,Grass cover near a house
48B,493117.347,4743766.628,Flooded area into the marshland
48C,493008.015,4742874.301,Cultivated land
48D,492898.689,4741981.972,Cultivated land
48E,492789.370,4741089.642,Just on the road edge
48F,492680.057,4740197.310,Cultivated land
48G,492570.750,4739304.977,Cultivated land
48H,492461.450,4738412.642,Cultivated land
49,492352.157,4737520.305,Cultivated land
49A,492300.073,4736567.394,Cultivated land
49B,492247.996,4735614.482,Bushes
50,492195.927,4734661.570,Cultivated land
50A,492314.387,4733799.739,Cultivated land
50B,492432.853,4732937.909,Cultivated land
51,492551.326,4732076.081,Cultivated land
52,493241.399,4731345.792,Grass cover
52A,493463.419,4730465.135,Cultivated land
52B,493685.444,4729584.482,Grass cover near bushes
52C,493907.475,4728703.831,Cultivated land near a house
53,494129.512,4727823.185,Cultivated land
53A,494146.419,4727033.645,Cultivated land
54,494163.332,4726244.107,Cultivated land
55,494256.229,4726128.226,Cultivated land
56,494363.920,4726131.707,Cultivated land
57,494364.723,4726059.683,Cultivated land
58,494156.803,4726052.499,Bare land
59,493661.584,4725824.377,Bushes
60,492754.051,4725125.919,Cultivated land with banana trees
61,492350.521,4724645.062,Bushes
61A,491637.798,4724090.588,Cultivated land
62,490925.073,4723536.107,Cultivated land
62A,490319.397,4722749.739,Cultivated land
62B,489713.723,4721963.363,Grass cover
62C,489108.051,4721176.979,Cultivated land
63,488502.380,4720390.587,Cultivated land
63A,488197.052,4719786.155,Cultivated land
64,487891.727,4719181.721,Bushes
64A,487262.668,4718524.451,Cultivated land
64B,486633.609,4717867.174,Cultivated land
65,486004.550,4717209.891,Small forest
65A,485673.029,4716607.974,Cultivated land
65B,485341.509,4716006.054,Cultivated land
66,485009.991,4715404.131,Cultivated land
66A,484398.120,4714736.850,Grass cover
66B,483990.206,4714291.993,Cultivated land
66C,483174.379,4713402.269,Cultivated land
66D,482562.509,4712734.968,Grass cover near forest
66E,482154.596,4712290.097,Cultivated land
67,481338.771,4711400.345,Bushes near cultivated land
68,480926.785,4711149.753,Small forest
