Position X,Position Y,Position Z

419386.525,4805661.285,1460.303
419386.832,4805660.000,1460.303
419388.292,4805661.708,1460.303
419388.984,4805651.016,1460.303
419389.227,4805650.000,1460.303
419390.000,4805662.118,1460.303
419390.000,4805646.772,1460.303
419390.000,4805650.000,1460.303
419390.000,4805660.000,1460.303
419391.622,4805640.000,1460.304
419392.132,4805637.868,1460.304
419394.016,4805630.000,1460.303
419395.281,4805624.719,1460.303
419396.360,4805663.640,1460.303
419396.411,4805620.000,1460.303
419398.430,4805611.570,1460.303
419398.806,4805610.000,1460.303
419400.000,4805660.000,1460.303
419400.000,4805650.000,1460.303
419400.000,4805605.012,1460.303
419400.000,4805664.512,1460.303
419400.000,4805620.000,1460.303
419400.000,4805610.000,1460.303
419400.000,4805640.000,1460.303
419400.000,4805630.000,1460.303
419401.200,4805600.000,1460.303
419401.578,4805598.422,1460.303
419403.595,4805590.000,1460.303
419404.428,4805665.572,1460.303
419404.727,4805585.273,1460.303
419405.990,4805580.000,1460.303
419407.875,4805572.125,1460.303
419408.384,4805570.000,1460.303
419410.000,4805650.000,1460.303
419410.000,4805640.000,1460.304
419410.000,4805630.000,1460.304
419410.000,4805563.252,1460.303
419410.000,4805666.907,1460.303
419410.000,4805660.000,1460.303
419410.000,4805590.000,1460.303
419410.000,4805580.000,1460.303
419410.000,4805570.000,1460.303
419410.000,4805620.000,1460.304
419410.000,4805610.000,1460.303
419410.000,4805600.000,1460.303
419410.779,4805560.000,1460.303
419411.024,4805558.976,1460.303
419412.496,4805667.504,1460.303
419413.174,4805550.000,1460.303
419414.173,4805545.827,1460.303
419415.568,4805540.000,1460.303
419417.321,4805532.679,1460.303
419417.963,4805530.000,1460.724
419420.000,4805630.000,1460.303
419420.000,4805640.000,1460.303
419420.000,4805610.000,1460.303
419420.000,4805620.000,1460.303
419420.000,4805669.301,1460.303
419420.000,4805521.493,1461.736
419420.000,4805650.000,1460.303
419420.000,4805660.000,1460.303
419420.000,4805550.000,1460.303
419420.000,4805560.000,1460.303
419420.000,4805530.000,1460.303
419420.000,4805540.000,1460.303
419420.000,4805590.000,1460.303
419420.000,4805600.000,1460.303
419420.000,4805570.000,1460.303
419420.000,4805580.000,1460.303
419420.357,4805520.000,1461.927
419420.470,4805519.530,1461.998
419420.564,4805669.436,1460.303
419422.752,4805510.000,1463.311
419422.917,4805670.000,1460.303
419423.619,4805506.381,1463.566
419425.147,4805500.000,1464.317
419426.767,4805493.233,1465.194
419427.541,4805490.000,1465.634
419428.632,4805671.368,1460.303
419429.916,4805480.084,1466.973
419429.936,4805480.000,1466.979
419430.000,4805620.000,1460.303
419430.000,4805630.000,1460.303
419430.000,4805610.000,1460.303
419430.000,4805590.000,1460.303
419430.000,4805600.000,1460.303
419430.000,4805640.000,1460.303
419430.000,4805479.733,1467.015
419430.000,4805671.696,1460.303
419430.000,4805670.000,1460.303
419430.000,4805650.000,1460.303
419430.000,4805660.000,1460.303
419430.000,4805510.000,1462.227
419430.000,4805520.000,1460.303
419430.000,4805500.000,1463.290
419430.000,4805480.000,1466.970
419430.000,4805490.000,1465.092
419430.000,4805530.000,1460.303
419430.000,4805570.000,1460.303
419430.000,4805580.000,1460.303
419430.000,4805560.000,1460.303
419430.000,4805540.000,1460.303
419430.000,4805550.000,1460.303
419431.880,4805471.880,1468.031
419432.230,4805672.230,1460.303
419432.331,4805470.000,1468.293
419433.812,4805463.812,1468.364
419434.725,4805460.000,1468.745
419435.744,4805455.744,1469.868
419437.120,4805450.000,1470.435
419437.676,4805447.676,1470.723
419439.515,4805440.000,1472.623
419439.608,4805439.608,1472.700
419440.000,4805600.000,1460.303
419440.000,4805610.000,1460.303
419440.000,4805620.000,1460.303
419440.000,4805570.000,1460.303
419440.000,4805580.000,1460.303
419440.000,4805590.000,1460.303
419440.000,4805630.000,1460.303
419440.000,4805670.000,1460.303
419440.000,4805437.973,1473.054
419440.000,4805674.091,1460.303
419440.000,4805640.000,1460.303
419440.000,4805650.000,1460.303
419440.000,4805660.000,1460.303
419440.000,4805470.000,1467.105
419440.000,4805480.000,1465.339
419440.000,4805490.000,1462.985
419440.000,4805440.000,1472.566
419440.000,4805450.000,1469.811
419440.000,4805460.000,1468.305
419440.000,4805500.000,1460.304
419440.000,4805540.000,1460.303
419440.000,4805550.000,1460.303
419440.000,4805560.000,1460.303
419440.000,4805510.000,1460.303
419440.000,4805520.000,1460.304
419440.000,4805530.000,1460.304
419441.909,4805430.000,1474.754
419442.510,4805427.490,1475.452
419444.304,4805420.000,1477.319
419444.768,4805675.232,1460.303
419445.659,4805414.341,1478.884
419446.699,4805410.000,1479.383
419448.808,4805401.192,1480.924
419449.093,4805400.000,1481.164
419450.000,4805590.000,1460.303
419450.000,4805600.000,1460.303
419450.000,4805610.000,1460.303
419450.000,4805580.000,1460.303
419450.000,4805550.000,1460.304
419450.000,4805560.000,1460.304
419450.000,4805570.000,1460.303
419450.000,4805620.000,1460.303
419450.000,4805670.000,1460.303
419450.000,4805396.213,1481.431
419450.000,4805676.485,1460.303
419450.000,4805660.000,1460.303
419450.000,4805630.000,1460.303
419450.000,4805640.000,1460.303
419450.000,4805650.000,1460.303
419450.000,4805440.000,1470.602
419450.000,4805450.000,1468.308
419450.000,4805460.000,1466.508
419450.000,4805430.000,1473.831
419450.000,4805400.000,1481.256
419450.000,4805410.000,1479.832
419450.000,4805420.000,1476.883
419450.000,4805470.000,1464.467
419450.000,4805520.000,1460.303
419450.000,4805530.000,1460.303
419450.000,4805540.000,1460.303
419450.000,4805510.000,1460.303
419450.000,4805480.000,1463.021
419450.000,4805490.000,1461.969
419450.000,4805500.000,1460.303
419451.488,4805390.000,1482.066
419451.956,4805388.044,1482.238
419452.836,4805677.164,1460.303
419453.882,4805380.000,1482.943
419455.105,4805374.895,1483.362
419456.277,4805370.000,1484.179
419458.254,4805361.746,1484.188
419458.672,4805360.000,1484.004
419460.000,4805580.000,1460.303
419460.000,4805570.000,1460.303
419460.000,4805600.000,1460.303
419460.000,4805590.000,1460.303
419460.000,4805540.000,1460.303
419460.000,4805530.000,1460.303
419460.000,4805560.000,1460.303
419460.000,4805550.000,1460.303
419460.000,4805610.000,1460.303
419460.000,4805670.000,1460.303
419460.000,4805660.000,1460.303
419460.000,4805678.880,1460.303
419460.000,4805354.453,1484.958
419460.000,4805630.000,1460.303
419460.000,4805620.000,1460.303
419460.000,4805650.000,1460.303
419460.000,4805640.000,1460.303
419460.000,4805410.000,1481.003
419460.000,4805400.000,1481.946
419460.000,4805430.000,1472.717
419460.000,4805420.000,1477.188
419460.000,4805370.000,1484.638
419460.000,4805360.000,1484.354
419460.000,4805390.000,1484.060
419460.000,4805380.000,1484.378
419460.000,4805440.000,1468.857
419460.000,4805500.000,1460.303
419460.000,4805490.000,1462.003
419460.000,4805520.000,1460.303
419460.000,4805510.000,1460.303
419460.000,4805460.000,1464.558
419460.000,4805450.000,1467.444
419460.000,4805480.000,1462.631
419460.000,4805470.000,1463.446
419460.904,4805679.096,1460.303
419461.066,4805350.000,1485.537
419461.402,4805348.598,1485.662
419463.461,4805340.000,1484.361
419464.551,4805335.449,1483.053
419464.677,4805680.000,1460.303
419465.856,4805330.000,1481.465
419467.699,4805322.301,1480.861
419468.250,4805320.000,1480.330
419468.972,4805681.028,1460.303
419470.000,4805580.000,1460.303
419470.000,4805570.000,1460.303
419470.000,4805600.000,1460.303
419470.000,4805590.000,1460.303
419470.000,4805560.000,1460.303
419470.000,4805530.000,1460.303
419470.000,4805520.000,1460.303
419470.000,4805550.000,1460.303
419470.000,4805540.000,1460.303
419470.000,4805610.000,1460.303
419470.000,4805680.000,1460.303
419470.000,4805670.000,1460.303
419470.000,4805681.275,1460.303
419470.000,4805312.693,1478.299
419470.000,4805660.000,1460.303
419470.000,4805630.000,1460.303
419470.000,4805620.000,1460.303
419470.000,4805650.000,1460.303
419470.000,4805640.000,1460.303
419470.000,4805510.000,1460.303
419470.000,4805380.000,1485.406
419470.000,4805370.000,1486.026
419470.000,4805400.000,1481.588
419470.000,4805390.000,1483.948
419470.000,4805360.000,1486.256
419470.000,4805330.000,1483.162
419470.000,4805320.000,1481.397
419470.000,4805350.000,1486.321
419470.000,4805340.000,1487.003
419470.000,4805410.000,1479.290
419470.000,4805480.000,1462.851
419470.000,4805470.000,1463.555
419470.000,4805500.000,1460.593
419470.000,4805490.000,1462.165
419470.000,4805460.000,1464.397
419470.000,4805430.000,1470.438
419470.000,4805420.000,1474.680
419470.000,4805450.000,1465.892
419470.000,4805440.000,1468.019
419470.645,4805310.000,1477.345
419470.848,4805309.152,1477.243
419473.040,4805300.000,1475.884
419473.997,4805296.003,1475.490
419475.434,4805290.000,1475.056
419477.040,4805682.960,1460.303
419477.145,4805282.855,1473.672
419477.829,4805280.000,1473.315
419479.677,4805272.283,1470.669
419480.000,4805560.000,1460.304
419480.000,4805550.000,1460.303
419480.000,4805570.000,1460.303
419480.000,4805590.000,1460.303
419480.000,4805580.000,1460.303
419480.000,4805510.000,1460.303
419480.000,4805500.000,1460.959
419480.000,4805520.000,1460.303
419480.000,4805540.000,1460.303
419480.000,4805530.000,1460.303
419480.000,4805600.000,1460.303
419480.000,4805670.000,1460.303
419480.000,4805660.000,1460.303
419480.000,4805680.000,1460.303
419480.000,4805683.669,1460.303
419480.000,4805272.361,1470.766
419480.000,4805620.000,1460.303
419480.000,4805610.000,1460.303
419480.000,4805630.000,1460.303
419480.000,4805650.000,1460.303
419480.000,4805640.000,1460.303
419480.000,4805490.000,1462.053
419480.000,4805340.000,1486.076
419480.000,4805330.000,1484.526
419480.000,4805350.000,1487.253
419480.000,4805370.000,1486.131
419480.000,4805360.000,1487.400
419480.000,4805290.000,1476.402
419480.000,4805280.000,1473.759
419480.000,4805300.000,1478.175
419480.000,4805320.000,1482.782
419480.000,4805310.000,1480.071
419480.000,4805380.000,1484.453
419480.000,4805450.000,1465.753
419480.000,4805440.000,1467.552
419480.000,4805460.000,1464.969
419480.000,4805480.000,1462.895
419480.000,4805470.000,1463.922
419480.000,4805400.000,1481.605
419480.000,4805390.000,1482.818
419480.000,4805410.000,1477.152
419480.000,4805430.000,1469.575
419480.000,4805420.000,1472.542
419485.108,4805684.892,1460.303
419486.164,4805273.836,1474.099
419490.000,4805560.000,1460.304
419490.000,4805550.000,1460.303
419490.000,4805570.000,1460.303
419490.000,4805590.000,1460.303
419490.000,4805580.000,1460.303
419490.000,4805510.000,1460.303
419490.000,4805500.000,1461.852
419490.000,4805520.000,1460.303
419490.000,4805540.000,1460.303
419490.000,4805530.000,1460.303
419490.000,4805600.000,1460.303
419490.000,4805670.000,1460.303
419490.000,4805660.000,1460.303
419490.000,4805680.000,1460.303
419490.000,4805686.064,1460.303
419490.000,4805274.755,1475.252
419490.000,4805620.000,1460.303
419490.000,4805610.000,1460.303
419490.000,4805630.000,1460.303
419490.000,4805650.000,1460.303
419490.000,4805640.000,1460.303
419490.000,4805490.000,1462.534
419490.000,4805340.000,1486.534
419490.000,4805330.000,1485.562
419490.000,4805350.000,1487.410
419490.000,4805370.000,1485.625
419490.000,4805360.000,1486.818
419490.000,4805290.000,1478.492
419490.000,4805280.000,1476.292
419490.000,4805300.000,1480.108
419490.000,4805320.000,1483.292
419490.000,4805310.000,1483.474
419490.000,4805380.000,1483.909
419490.000,4805450.000,1466.688
419490.000,4805440.000,1467.873
419490.000,4805460.000,1465.439
419490.000,4805480.000,1463.218
419490.000,4805470.000,1464.222
419490.000,4805400.000,1478.774
419490.000,4805390.000,1481.141
419490.000,4805410.000,1475.719
419490.000,4805430.000,1469.381
419490.000,4805420.000,1471.993
419493.176,4805686.824,1460.303
419494.232,4805275.768,1478.560
419500.000,4805560.000,1460.303
419500.000,4805550.000,1460.303
419500.000,4805570.000,1460.303
419500.000,4805590.000,1460.303
419500.000,4805580.000,1460.303
419500.000,4805510.000,1461.198
419500.000,4805500.000,1462.367
419500.000,4805520.000,1460.303
419500.000,4805540.000,1460.303
419500.000,4805530.000,1460.303
419500.000,4805600.000,1460.303
419500.000,4805670.000,1460.303
419500.000,4805660.000,1460.303
419500.000,4805680.000,1460.303
419500.000,4805688.459,1460.303
419500.000,4805277.150,1482.386
419500.000,4805620.000,1460.303
419500.000,4805610.000,1460.303
419500.000,4805630.000,1460.303
419500.000,4805650.000,1460.303
419500.000,4805640.000,1460.303
419500.000,4805490.000,1462.871
419500.000,4805340.000,1487.678
419500.000,4805330.000,1486.592
419500.000,4805350.000,1487.599
419500.000,4805370.000,1485.579
419500.000,4805360.000,1486.602
419500.000,4805290.000,1483.321
419500.000,4805280.000,1482.678
419500.000,4805300.000,1483.737
419500.000,4805320.000,1485.758
419500.000,4805310.000,1484.503
419500.000,4805380.000,1482.633
419500.000,4805450.000,1466.852
419500.000,4805440.000,1467.618
419500.000,4805460.000,1465.159
419500.000,4805480.000,1463.384
419500.000,4805470.000,1464.170
419500.000,4805400.000,1477.688
419500.000,4805390.000,1479.902
419500.000,4805410.000,1474.576
419500.000,4805430.000,1468.745
419500.000,4805420.000,1471.183
419501.244,4805688.756,1460.303
419502.300,4805277.700,1483.407
419506.437,4805690.000,1460.303
419509.312,4805690.688,1460.303
419510.000,4805570.000,1460.303
419510.000,4805560.000,1460.303
419510.000,4805580.000,1460.304
419510.000,4805600.000,1460.304
419510.000,4805590.000,1460.303
419510.000,4805550.000,1460.304
419510.000,4805510.000,1462.271
419510.000,4805500.000,1462.706
419510.000,4805520.000,1460.303
419510.000,4805540.000,1460.303
419510.000,4805530.000,1460.304
419510.000,4805680.000,1460.303
419510.000,4805670.000,1460.303
419510.000,4805690.000,1460.303
419510.000,4805690.853,1460.303
419510.000,4805279.544,1484.696
419510.000,4805660.000,1460.303
419510.000,4805620.000,1460.303
419510.000,4805610.000,1460.303
419510.000,4805630.000,1460.303
419510.000,4805650.000,1460.303
419510.000,4805640.000,1460.303
